,rewards
0,-3.886940939990914
1,-3.5499809024137385
2,-79.01745567697483
3,-55.88944021432829
4,-84.3061888368004
5,-3.7997478737227643
6,-51.02855232918119
7,-56.71411625840123
8,-2.9053613674348684
9,-94.98820514662694
10,-117.05944045854828
11,-45.47131910121209
12,-111.19832762786547
13,-4.504497362567755
14,-5.01328526815864
15,-108.94550630490589
16,-128.3074553050247
17,-156.22002100964397
18,-2.233657735813842
19,-6.333611997385277
20,-3.7419862263650177
21,-152.35456959960604
22,-56.24248038511977
23,-78.65252877024817
24,-2.3308459981866765
25,-83.16976550664377
26,-5.563294657491971
27,-108.04903403386338
28,-92.15934536784988
29,-62.089993985595626
30,-4.870624319065299
31,-67.46252700752318
32,-113.50206549143488
33,-4.573526663953053
34,-2.011496243198774
35,-3.8943921342141676
36,-44.70545115836345
37,-4.290040389208001
38,-63.40904386281243
39,-3.650037230628253
40,-54.96607025831333
41,-48.64272468883182
42,-3.0891307408239492
43,-88.31070441852009
44,-85.7563069573635
45,-161.80309519168185
46,-69.67689464065775
47,-35.543211414976916
48,-48.15141102779004
49,-95.89934458021943
50,-59.934573546637885
51,-138.49116232835456
52,-50.01024352836277
53,-70.75794067252806
54,-193.91921813681873
55,-145.66255547999174
56,-53.08812435605562
57,-82.87382021985692
58,-56.95552334611932
59,-54.19770382092817
60,-187.8257565942881
61,-57.79088783053606
62,-108.6026310847337
63,-56.6253557920932
64,-145.205074502014
65,-50.744281316496455
66,-45.30785220469354
67,-150.5560414006685
68,-30.035960874965294
69,-69.1424575528822
70,-5.008182781198918
71,-77.92428566431045
72,-44.08965120816311
73,-44.524836563195095
74,-109.65405645697622
75,-63.977103963629276
76,-37.603885055891524
77,-65.02881409903911
78,-3.577731078692242
79,-3.796725499429348
80,-69.74793812128041
81,-6.4320859881295664
82,-69.32363033482433
83,-62.468770881735836
84,-38.7594646876271
85,-59.91438321749585
86,-99.44151743062967
87,-29.672641410971817
88,-175.13995696787362
89,-66.82234237302399
90,-52.709519855327805
91,-83.50752422890942
92,-128.9560891336661
93,-5.784013220646903
94,-96.06043003560363
95,-86.20022852245499
96,-47.98147884808667
97,-48.194394428638404
98,-3.0119590871975777
99,-127.64280689959054
100,-59.95911297952219
101,-110.36399114592538
102,-64.05571018107017
103,-129.05243858478738
104,-4.240614076623009
105,-3.3315413723003258
106,-50.365327644563315
107,-66.23743734604817
108,-80.76718750740005
109,-54.8846918521037
110,-154.32120915377783
111,-79.62994711666423
112,-166.21057046048077
113,-59.96705870964649
114,-57.5163487005153
115,-41.05341502041075
116,-80.73541095770341
117,-109.77939895712329
118,-100.71600078832851
119,-72.93338647894235
120,-122.42692948448341
121,-61.23129209360947
122,-188.275734798122
123,-63.02078205153049
124,-80.47053391485093
