,temp_speed
asg003km,-0.6689543466264076
asg002km,-0.6553826981338646
asg012km,-0.6412802797257109
asg013km,-0.6287085013944236
3rcp003rs_p_pack,-0.613680175223741
3rcp004rs_p_pack,-0.613680175223741
3rcp006rs_p_pack,-0.5779248321652852
3rcp005rs_p_pack,-0.5770037116480078
3rcp002rs_p_pack,-0.44267150346745765
3rcp001rs_p_pack,-0.4389646106605731
rpb309ks,-0.41433913032942643
rpa309ks,-0.41433913032942643
3are031vl_p_pack,-0.3949740541809483
3are033vl_p_pack,-0.39440620796208786
3are032vl_p_pack,-0.39440620796208786
rcv502ks,-0.3918510424338572
3rcv046vp_lc_obk,-0.3917875394387007
3rcv046vp_lc_opnt,-0.39123730644820826
sec004mp,-0.37917860691596683
asg001km,-0.3774307020762643
asg011km,-0.3684493180890351
asg402ks,-0.3657685049253272
3are242vl_p_pack,-0.28766484303435286
3are244vl_p_pack,-0.27266733673007787
3are243vl_p_pack,-0.27266733673007787
3asg017vd_lc_opnt,-0.2262424010814732
3asg015vd_lc_opnt,-0.22231089463847722
3asg016vd_lc_opnt,-0.22081755073375364
3rcv046vp_p_pack,-0.21537601212627625
3gct133vv_lc_obk,-0.21474839623965847
3gct133vv_lc_opnt,-0.21474839623965847
3asg014vd_lc_opnt,-0.19979839748256195
3ric203km,-0.19875549509240187
3ric103km,-0.1985976877948349
3asg012vd_p_pack,-0.18271233570686893
3asg013vd_p_pack,-0.17636961391892153
vvp007mp,-0.1390306008919056
vvp013mp,-0.13895293629898478
vvp010mp,-0.1389528652069258
rcv017mp,-0.1171081334064926
3gct132vv_lc_spnt,-0.11558564969149827
3are033vl_lc_obk,-0.0969208543995286
3are033vl_lc_opnt,-0.0964882576105538
3are032vl_lc_obk,-0.09574298946251293
3are032vl_lc_opnt,-0.09551303967091629
krt004ma,-0.07366033803194576
3gct133vv_lc_spnt,-0.06500757738948909
rcp039mp,-0.04812833747096618
rcp037mp,-0.04812833747096618
3rcp037mp,-0.04811971433465274
3rcp039mp,-0.0481197119657145
3rcp002vp_p_pack,-0.04742621464829837
3rcp029mt,-0.04536410298527891
3rcp001vp_p_pack,-0.04423255316201361
vvp008mp,-0.031996423921090054
vvp011mp,-0.03193884548825536
vvp014mp,-0.03193884548825536
asg401ks,-0.025736233848350873
asg403ks,-0.025736233848350873
vvp009mp,-0.025448221112194573
3gct132vv_lc_obk,-0.02100515146740926
3gct132vv_lc_opnt,-0.02100515146740926
3rcp002vp_c_c8,-0.020849003165328554
3rcp028mt,-0.020019766292701035
3ric200km,-0.019337115944157577
3ric100km,-0.019302220948175915
3rcp001vp_c_c8,-0.01856534776025463
3are031vl_lc_opnt,-0.008470602649586394
3are031vl_lc_obk,-0.008466858528290967
3gct132vv_p_pack,-0.0038442942905960458
3rcp002vp_lc_opnt,-0.002841802224440153
3rcp002vp_lc_obk,-0.002680414245531758
rpn403km,-0.0006024657850005973
rpn409km,-0.00042513705545429596
3rcp001vp_lc_opnt,0.0007619332060432385
3rcp001vp_lc_obk,0.0007743451893752493
3gct133vv_c_c8,0.00966193103887405
3rcp002rs_c_c2,0.01315068329105086
3rcp005rs_c_c2,0.013454502626341404
3rcp006rs_c_c2,0.014066992797151638
3rcp001rs_c_c2,0.015573288650146568
3rcp006rs_c_c5,0.01674004592671419
3rcp005rs_c_c5,0.016995588183409852
are057mn,0.018261235247754668
are060mn,0.018261235247754668
are030mn,0.01827276770728735
are054mn,0.01827276770728735
are401km,0.018949770794197848
krt007ma,0.024027544730580712
are056mn,0.024956661569556622
are059mn,0.024956661569556622
are053mn,0.024971732976821703
are020mn,0.024971732976821703
sap001mp,0.03104460964787285
3rcp024mp_a_pnt,0.03196928377215203
ety103mp,0.0322759324727107
ety104mp,0.0322759324727107
3ety502mp,0.03228615457982884
3gct133vv_c_c7,0.03303796318708192
3gct131vv_p_pack,0.04365179661308172
3asg014vd_p_pack,0.08000401275022073
3asg016vd_p_pack,0.08553220047754784
3asg015vd_p_pack,0.08957245269731395
3are244vl_lc_opnt,0.08979449719883661
3are243vl_lc_opnt,0.089795481245979
3are243vl_lc_obk,0.08994603363948925
3are244vl_lc_obk,0.09026770938865006
3asg017vd_p_pack,0.09594972690172922
3asg013vd_lc_opnt,0.09921245727062374
3asg012vd_lc_opnt,0.10284910843244474
lhb001mu,0.10871307550845784
3gct133vv_p_pack,0.11373420088876848
lgb001mu,0.1144319230084948
lgc001mu,0.13116190878042538
lha001mu,0.1315237576456132
ety101mp,0.13585092119885359
ety102mp,0.13585123265943683
3are242vl_lc_opnt,0.13765634500176335
3are242vl_lc_obk,0.13766253332464093
are058mn,0.1413274745328976
are055mn,0.1413274745328976
are052mn,0.1413479311071506
are010mn,0.1413479311071506
rpn401km,0.19644105250521707
rpn407km,0.1969323399392999
3are033vl_lc_sbk,0.21667737436347462
3are244vl_lc_sbk,0.21667737436347462
3are242vl_lc_sbk,0.21667737436347462
3are031vl_lc_sbk,0.21667737436347462
3are032vl_lc_sbk,0.21667737436347462
3are243vl_lc_sbk,0.21667737436347462
vvp003md,0.23370645081534056
vvp002md,0.2692151904940161
are050md,0.2832671911492542
are403km,0.29059866035471493
are402km,0.29077440198621674
are047md,0.2914721351831387
are044md,0.29147816701303225
are048md,0.29177147262255093
are045md,0.29177647989306754
are049md,0.3511610782963345
vvp001md,0.35356913981437477
are043md,0.3565914526858959
are046md,0.35659663598187774
rcv004mp,0.3943649245815204
3rcv013vp_lc_opnt,0.39742365311012706
3rcv013vp_lc_obk,0.3974239942786333
rcv005md,0.3974377548067757
krt009ma,0.4054808074229737
rcp006mp,0.40951610640280894
rcp011mn,0.4463846120528668
rcp008mn,0.4463846120528668
3rcp007mn,0.4463991889472429
rcp007mn,0.44640967720494945
rcv018md,0.46059122531051283
temp_speed,1.0
sap007sp,
3gct131vv_lc_obk,
krt003ma,
3rcp001vp_lc_spnt,
krt008ma,
3are031vl_lc_spnt,
3are242vl_lc_spnt,
3are033vl_lc_spnt,
3rcp004rs_c_c1,
3rcv046vp_c_c8,
3asg016vd_lc_obk,
rri013ks,
3rcp006rs_c_c1,
3rcv013vp_lc_spnt,
3asg013vd_lc_obk,
krt034ma,
3gct132vv_c_c7,
3rcp004rs_c_c2,
3rcp002vp_lc_spnt,
3rcp002rs_c_c1,
3asg014vd_lc_obk,
3rcp006rs_c_c4,
3asg015vd_lc_obk,
3rcv013vp_lc_sbk,
sar003sp,
3gct131vv_c_c7,
3gct131vv_c_c8,
8ety501mp,
sec003mp,
3rra025vp_p_pack,
3are244vl_lc_spnt,
3rcp005rs_c_c1,
3asg012vd_lc_obk,
krt032ma,
3rra024vp,
3gct131vv_lc_spnt,
rcv520ks,
3rcp001vp_c_c7,
krt026ma,
3rra025vp_control,
ety013ks,
3are032vl_lc_spnt,
3rcp005rs_c_c4,
3are243vl_lc_spnt,
krt033ma,
krt002ma,
3rcv046vp_lc_spnt,
3asg017vd_lc_obk,
3gct132vv_c_c8,
rri014ks,
3rra024vp_p_pack,
sar003sp.1,
3rcp001rs_c_c1,
3rcp003rs_c_c2,
rpa236ks,
3rcv013vp_p_pack,
3rra025vp,
3rcp003rs_c_c1,
3rcp002vp_c_c7,
3gct131vv_lc_opnt,
